especie,luminosidad,humedad,temperatura,estado_salud
Aloe Vera (Aloe barbadensis),653.25,65.51,23.67,Healthy
Aloe Vera (Aloe barbadensis),402.29,54.2,22.68,Moderate Stress
Aloe Vera (Aloe barbadensis),373.43,57.16,20.04,Moderate Stress
Aloe Vera (Aloe barbadensis),922.06,69.48,22.27,Healthy
Aloe Vera (Aloe barbadensis),547.7,43.66,20.35,Healthy
Aloe Vera (Aloe barbadensis),745.61,52.72,20.84,High Stress
Aloe Vera (Aloe barbadensis),767.5,58.48,22.98,Healthy
Aloe Vera (Aloe barbadensis),518.6,63.35,25.36,Moderate Stress
Aloe Vera (Aloe barbadensis),945.49,43.88,27.07,High Stress
Aloe Vera (Aloe barbadensis),606.66,61.88,23.85,Healthy
Aloe Vera (Aloe barbadensis),662.94,53.11,29.95,Moderate Stress
Aloe Vera (Aloe barbadensis),333.61,51.05,28.75,Moderate Stress
Aloe Vera (Aloe barbadensis),318.92,50.28,19.46,Healthy
Aloe Vera (Aloe barbadensis),488.38,57.02,21.27,High Stress
Aloe Vera (Aloe barbadensis),237.75,63.43,25.14,High Stress
Aloe Vera (Aloe barbadensis),553.55,53.78,25.58,High Stress
Aloe Vera (Aloe barbadensis),769.1,48.82,28.25,Healthy
Aloe Vera (Aloe barbadensis),781.7,59.01,22.06,Moderate Stress
Aloe Vera (Aloe barbadensis),881.69,57.35,29.76,High Stress
Aloe Vera (Aloe barbadensis),337.98,42.42,20.57,Moderate Stress
Aloe Vera (Aloe barbadensis),370.42,43.47,27.56,High Stress
Aloe Vera (Aloe barbadensis),249.98,52.43,24.26,Healthy
Aloe Vera (Aloe barbadensis),888.0,48.21,22.37,High Stress
Aloe Vera (Aloe barbadensis),501.23,56.37,25.5,High Stress
Aloe Vera (Aloe barbadensis),955.81,41.73,29.08,Moderate Stress
Aloe Vera (Aloe barbadensis),468.51,52.5,25.17,High Stress
Aloe Vera (Aloe barbadensis),608.09,66.61,25.46,Healthy
Aloe Vera (Aloe barbadensis),245.73,45.41,25.96,Healthy
Aloe Vera (Aloe barbadensis),575.84,59.49,25.61,Moderate Stress
Aloe Vera (Aloe barbadensis),434.77,45.49,26.53,Moderate Stress
Aloe Vera (Aloe barbadensis),836.59,58.37,24.15,Moderate Stress
Aloe Vera (Aloe barbadensis),540.76,55.1,27.68,Moderate Stress
Aloe Vera (Aloe barbadensis),346.92,54.32,20.87,Moderate Stress
Aloe Vera (Aloe barbadensis),783.55,40.35,26.79,High Stress
Aloe Vera (Aloe barbadensis),802.39,45.78,18.53,High Stress
Aloe Vera (Aloe barbadensis),798.01,50.23,24.53,High Stress
Aloe Vera (Aloe barbadensis),391.1,57.29,19.03,High Stress
Aloe Vera (Aloe barbadensis),753.41,44.71,22.29,Healthy
Aloe Vera (Aloe barbadensis),976.68,44.65,24.69,High Stress
Aloe Vera (Aloe barbadensis),267.97,47.29,25.08,Moderate Stress
Aloe Vera (Aloe barbadensis),488.34,48.85,26.48,High Stress
Aloe Vera (Aloe barbadensis),750.72,55.97,23.6,High Stress
Aloe Vera (Aloe barbadensis),338.88,43.33,22.1,Moderate Stress
Aloe Vera (Aloe barbadensis),595.33,63.99,18.36,Healthy
Aloe Vera (Aloe barbadensis),618.07,41.13,22.28,Healthy
Aloe Vera (Aloe barbadensis),303.25,57.73,20.54,High Stress
Aloe Vera (Aloe barbadensis),720.53,61.91,22.41,High Stress
Aloe Vera (Aloe barbadensis),742.57,41.61,22.16,Moderate Stress
Aloe Vera (Aloe barbadensis),666.31,47.58,19.19,High Stress
Aloe Vera (Aloe barbadensis),932.34,67.56,25.38,Moderate Stress
Aloe Vera (Aloe barbadensis),725.36,48.46,20.07,Moderate Stress
Aloe Vera (Aloe barbadensis),759.32,69.94,24.71,High Stress
Aloe Vera (Aloe barbadensis),444.0,56.74,22.65,Healthy
Aloe Vera (Aloe barbadensis),696.06,43.4,20.65,High Stress
Aloe Vera (Aloe barbadensis),477.79,65.87,28.93,Moderate Stress
Aloe Vera (Aloe barbadensis),238.92,62.41,28.02,Moderate Stress
Aloe Vera (Aloe barbadensis),871.15,56.74,28.9,Moderate Stress
Aloe Vera (Aloe barbadensis),819.84,65.76,18.94,High Stress
Aloe Vera (Aloe barbadensis),835.06,41.06,23.92,High Stress
Aloe Vera (Aloe barbadensis),527.04,68.3,24.95,High Stress
Aloe Vera (Aloe barbadensis),615.65,49.48,18.34,High Stress
Aloe Vera (Aloe barbadensis),396.42,63.68,23.47,Moderate Stress
Aloe Vera (Aloe barbadensis),956.78,67.26,21.12,Healthy
Aloe Vera (Aloe barbadensis),863.43,68.62,21.24,High Stress
Aloe Vera (Aloe barbadensis),264.75,59.53,27.79,Moderate Stress
Aloe Vera (Aloe barbadensis),922.84,50.31,19.29,Moderate Stress
Aloe Vera (Aloe barbadensis),822.52,51.94,23.27,Healthy
Aloe Vera (Aloe barbadensis),535.37,56.7,27.81,High Stress
Aloe Vera (Aloe barbadensis),633.87,64.02,25.36,Healthy
Aloe Vera (Aloe barbadensis),239.1,48.59,21.61,High Stress
Aloe Vera (Aloe barbadensis),771.03,45.16,20.83,Moderate Stress
Aloe Vera (Aloe barbadensis),937.78,41.97,28.81,High Stress
Aloe Vera (Aloe barbadensis),297.25,51.24,21.83,Healthy
Aloe Vera (Aloe barbadensis),305.87,61.73,25.72,High Stress
Aloe Vera (Aloe barbadensis),522.22,49.15,23.16,Moderate Stress
Aloe Vera (Aloe barbadensis),397.09,43.88,29.04,Moderate Stress
Aloe Vera (Aloe barbadensis),343.77,63.3,22.92,High Stress
Aloe Vera (Aloe barbadensis),235.32,69.52,28.34,Moderate Stress
Aloe Vera (Aloe barbadensis),346.56,61.06,18.66,Moderate Stress
Aloe Vera (Aloe barbadensis),259.88,50.69,25.02,Moderate Stress
Aloe Vera (Aloe barbadensis),357.1,43.34,21.3,High Stress
Aloe Vera (Aloe barbadensis),864.69,43.0,22.62,High Stress
Menta (Mentha spicata),906.36,69.09,28.75,Moderate Stress
Menta (Mentha spicata),741.73,41.73,27.29,High Stress
Menta (Mentha spicata),668.9,55.82,28.39,Healthy
Menta (Mentha spicata),861.52,46.22,24.02,Moderate Stress
Menta (Mentha spicata),200.62,60.38,26.81,High Stress
Menta (Mentha spicata),292.88,46.12,26.6,Healthy
Menta (Mentha spicata),399.76,43.58,18.27,Healthy
Menta (Mentha spicata),680.42,64.36,29.91,High Stress
Menta (Mentha spicata),449.06,41.71,21.2,Moderate Stress
Menta (Mentha spicata),428.74,51.47,18.0,High Stress
Menta (Mentha spicata),272.18,68.86,28.98,High Stress
Menta (Mentha spicata),419.19,43.3,25.71,High Stress
Menta (Mentha spicata),436.49,63.05,20.15,High Stress
Menta (Mentha spicata),623.14,63.48,25.59,Healthy
Menta (Mentha spicata),719.04,51.38,21.14,High Stress
Menta (Mentha spicata),706.28,52.57,20.96,High Stress
Menta (Mentha spicata),801.84,57.65,21.26,High Stress
Menta (Mentha spicata),954.38,55.75,18.57,High Stress
Menta (Mentha spicata),570.69,57.7,20.72,High Stress
Menta (Mentha spicata),330.65,65.77,26.75,High Stress
Menta (Mentha spicata),618.11,45.27,21.71,Moderate Stress
Menta (Mentha spicata),306.74,62.15,23.88,Healthy
Menta (Mentha spicata),982.54,46.25,18.28,High Stress
Menta (Mentha spicata),868.11,68.49,27.83,High Stress
Menta (Mentha spicata),747.44,53.57,25.07,Moderate Stress
Menta (Mentha spicata),260.36,52.46,18.16,High Stress
Menta (Mentha spicata),449.94,61.33,23.22,Moderate Stress
Menta (Mentha spicata),379.43,47.99,18.96,Healthy
Menta (Mentha spicata),245.02,65.81,25.32,High Stress
Menta (Mentha spicata),324.26,69.47,20.62,High Stress
Menta (Mentha spicata),247.14,41.12,28.78,Healthy
Menta (Mentha spicata),844.76,43.92,21.4,High Stress
Menta (Mentha spicata),836.42,61.97,23.64,High Stress
Menta (Mentha spicata),285.88,44.43,22.7,Moderate Stress
Menta (Mentha spicata),247.37,40.33,20.55,High Stress
Menta (Mentha spicata),794.77,40.19,24.39,Moderate Stress
Menta (Mentha spicata),299.2,44.45,19.15,Moderate Stress
Menta (Mentha spicata),972.45,49.21,29.84,Healthy
Menta (Mentha spicata),282.92,59.32,22.29,Moderate Stress
Menta (Mentha spicata),795.43,46.01,25.75,Moderate Stress
Menta (Mentha spicata),717.63,55.53,20.25,Healthy
Menta (Mentha spicata),992.46,65.63,23.39,High Stress
Menta (Mentha spicata),815.81,56.52,20.62,High Stress
Menta (Mentha spicata),957.1,41.67,19.17,Healthy
Menta (Mentha spicata),456.78,64.16,25.47,Moderate Stress
Menta (Mentha spicata),505.91,66.55,20.02,High Stress
Menta (Mentha spicata),490.0,63.98,18.0,Moderate Stress
Menta (Mentha spicata),293.09,69.07,22.62,Healthy
Menta (Mentha spicata),794.25,53.27,19.7,High Stress
Menta (Mentha spicata),727.68,69.93,20.62,High Stress
Menta (Mentha spicata),999.86,55.33,26.87,Moderate Stress
Menta (Mentha spicata),207.81,42.21,20.92,Healthy
Menta (Mentha spicata),323.39,55.25,27.43,Moderate Stress
Menta (Mentha spicata),966.02,46.08,29.13,High Stress
Menta (Mentha spicata),623.49,60.51,22.14,Moderate Stress
Menta (Mentha spicata),837.2,49.58,28.43,Moderate Stress
Menta (Mentha spicata),444.89,55.82,24.04,Healthy
Menta (Mentha spicata),678.77,54.63,29.33,High Stress
Menta (Mentha spicata),392.61,68.22,23.55,Healthy
Menta (Mentha spicata),961.76,57.02,26.57,High Stress
Menta (Mentha spicata),487.52,54.62,25.29,High Stress
Menta (Mentha spicata),730.14,64.12,29.15,Healthy
Menta (Mentha spicata),441.36,40.04,28.31,Moderate Stress
Menta (Mentha spicata),871.67,43.55,20.5,High Stress
Menta (Mentha spicata),955.08,61.46,29.6,High Stress
Menta (Mentha spicata),537.69,42.77,20.2,Moderate Stress
Menta (Mentha spicata),563.47,46.72,25.49,High Stress
Menta (Mentha spicata),485.42,59.41,23.59,High Stress
Menta (Mentha spicata),835.34,55.81,24.85,High Stress
Menta (Mentha spicata),446.99,43.17,28.01,High Stress
Menta (Mentha spicata),889.07,47.13,21.78,Moderate Stress
Menta (Mentha spicata),666.91,66.33,20.32,Healthy
Menta (Mentha spicata),575.37,54.84,22.56,High Stress
Menta (Mentha spicata),338.36,66.93,28.42,High Stress
Menta (Mentha spicata),331.62,51.47,18.27,Healthy
Menta (Mentha spicata),986.15,60.6,21.82,High Stress
Menta (Mentha spicata),496.46,49.46,27.03,Moderate Stress
Menta (Mentha spicata),727.8,44.76,19.12,Moderate Stress
Menta (Mentha spicata),313.06,59.7,21.52,High Stress
Menta (Mentha spicata),609.43,55.03,25.18,High Stress
Menta (Mentha spicata),236.18,51.57,18.72,Moderate Stress
Menta (Mentha spicata),993.37,62.43,29.57,High Stress
Menta (Mentha spicata),662.08,62.2,27.65,Moderate Stress
Menta (Mentha spicata),202.51,68.05,18.05,Moderate Stress
Menta (Mentha spicata),855.3,47.31,28.9,Moderate Stress
Menta (Mentha spicata),600.71,41.23,27.78,High Stress
Menta (Mentha spicata),882.98,65.94,18.21,High Stress
Menta (Mentha spicata),682.15,55.64,26.54,High Stress
Menta (Mentha spicata),645.74,43.71,19.73,Healthy
Menta (Mentha spicata),787.34,49.03,28.57,High Stress
Menta (Mentha spicata),336.87,45.01,29.6,High Stress
Menta (Mentha spicata),605.25,51.72,28.14,Healthy
Menta (Mentha spicata),533.91,54.12,23.65,Moderate Stress
Menta (Mentha spicata),901.11,52.11,26.04,Healthy
Menta (Mentha spicata),297.03,58.18,23.45,High Stress
Menta (Mentha spicata),924.46,45.5,28.96,Healthy
Menta (Mentha spicata),870.21,63.4,28.62,Moderate Stress
Menta (Mentha spicata),229.31,50.28,20.13,Healthy
Menta (Mentha spicata),442.58,48.58,20.1,High Stress
Menta (Mentha spicata),321.5,45.5,29.51,Moderate Stress
Menta (Mentha spicata),802.74,54.43,26.83,High Stress
Menta (Mentha spicata),238.01,50.11,25.71,High Stress
Menta (Mentha spicata),623.46,57.13,21.25,Moderate Stress
Menta (Mentha spicata),560.83,50.61,19.49,Healthy
Menta (Mentha spicata),698.63,56.29,29.47,Healthy
Menta (Mentha spicata),729.94,69.74,27.38,Moderate Stress
Menta (Mentha spicata),442.68,67.28,26.67,Moderate Stress
Menta (Mentha spicata),675.06,53.84,23.87,Moderate Stress
Menta (Mentha spicata),855.85,40.63,20.31,Moderate Stress
Menta (Mentha spicata),325.38,44.92,28.19,High Stress
Menta (Mentha spicata),716.31,61.17,19.91,High Stress
Menta (Mentha spicata),712.77,61.87,23.99,Healthy
Menta (Mentha spicata),379.19,66.03,18.74,High Stress
Menta (Mentha spicata),897.82,55.38,24.09,High Stress
Menta (Mentha spicata),727.3,48.12,20.89,Healthy
Menta (Mentha spicata),279.03,68.1,21.17,High Stress
Menta (Mentha spicata),764.79,65.0,20.84,Healthy
Menta (Mentha spicata),951.3,61.29,28.82,Healthy
Menta (Mentha spicata),537.81,63.44,25.69,Moderate Stress
Menta (Mentha spicata),253.67,66.74,28.09,High Stress
Lavanda (Lavandula angustifolia),652.94,58.78,22.06,Moderate Stress
Lavanda (Lavandula angustifolia),300.42,43.35,25.43,Moderate Stress
Lavanda (Lavandula angustifolia),268.38,46.46,24.53,High Stress
Lavanda (Lavandula angustifolia),465.78,52.06,29.12,High Stress
Lavanda (Lavandula angustifolia),624.01,47.1,22.29,Moderate Stress
Lavanda (Lavandula angustifolia),623.86,69.8,24.85,High Stress
Lavanda (Lavandula angustifolia),553.23,46.54,21.78,Moderate Stress
Lavanda (Lavandula angustifolia),220.85,54.93,28.08,Moderate Stress
Lavanda (Lavandula angustifolia),863.84,67.08,22.25,Moderate Stress
Lavanda (Lavandula angustifolia),936.23,50.95,22.9,Healthy
Lavanda (Lavandula angustifolia),621.53,47.15,23.59,High Stress
Lavanda (Lavandula angustifolia),722.53,50.8,19.33,High Stress
Lavanda (Lavandula angustifolia),201.51,53.56,18.0,High Stress
Lavanda (Lavandula angustifolia),603.64,57.89,18.2,Moderate Stress
Lavanda (Lavandula angustifolia),314.08,41.43,27.28,High Stress
Lavanda (Lavandula angustifolia),542.84,59.02,28.42,High Stress
Lavanda (Lavandula angustifolia),661.56,67.36,19.73,High Stress
Lavanda (Lavandula angustifolia),432.38,45.37,26.37,High Stress
Lavanda (Lavandula angustifolia),356.1,68.46,23.38,High Stress
Lavanda (Lavandula angustifolia),977.25,55.99,21.03,Healthy
Lavanda (Lavandula angustifolia),392.31,63.83,29.61,Moderate Stress
Lavanda (Lavandula angustifolia),921.24,40.5,23.86,Moderate Stress
Lavanda (Lavandula angustifolia),720.57,62.79,26.44,High Stress
Lavanda (Lavandula angustifolia),263.2,41.36,26.09,Healthy
Lavanda (Lavandula angustifolia),654.35,52.15,25.24,High Stress
Lavanda (Lavandula angustifolia),341.06,40.65,22.71,High Stress
Lavanda (Lavandula angustifolia),731.1,56.04,22.22,High Stress
Lavanda (Lavandula angustifolia),491.87,44.83,29.66,High Stress
Lavanda (Lavandula angustifolia),449.48,54.26,18.84,Moderate Stress
Lavanda (Lavandula angustifolia),630.27,64.86,18.67,High Stress
Lavanda (Lavandula angustifolia),345.61,53.68,27.88,Moderate Stress
Lavanda (Lavandula angustifolia),619.08,69.97,25.82,Moderate Stress
Lavanda (Lavandula angustifolia),837.58,60.97,18.17,Healthy
Lavanda (Lavandula angustifolia),870.61,56.28,28.07,Healthy
Lavanda (Lavandula angustifolia),976.24,42.36,18.13,High Stress
Lavanda (Lavandula angustifolia),740.35,60.04,19.67,Moderate Stress
Lavanda (Lavandula angustifolia),784.39,59.76,27.21,Moderate Stress
Lavanda (Lavandula angustifolia),816.04,40.77,24.18,Moderate Stress
Lavanda (Lavandula angustifolia),940.57,69.04,21.71,Moderate Stress
Lavanda (Lavandula angustifolia),867.91,59.73,28.54,Moderate Stress
Lavanda (Lavandula angustifolia),880.68,42.21,21.63,Healthy
Lavanda (Lavandula angustifolia),517.31,56.91,21.1,Moderate Stress
Lavanda (Lavandula angustifolia),366.66,59.21,24.29,Healthy
Lavanda (Lavandula angustifolia),645.98,62.45,26.41,High Stress
Lavanda (Lavandula angustifolia),413.68,52.19,19.42,Healthy
Lavanda (Lavandula angustifolia),352.02,69.96,24.61,Moderate Stress
Lavanda (Lavandula angustifolia),416.94,50.32,26.43,High Stress
Lavanda (Lavandula angustifolia),448.76,69.66,20.91,High Stress
Lavanda (Lavandula angustifolia),679.19,62.5,27.08,Moderate Stress
Lavanda (Lavandula angustifolia),833.18,67.8,26.61,Healthy
Lavanda (Lavandula angustifolia),394.49,57.79,23.31,Healthy
Lavanda (Lavandula angustifolia),983.27,58.79,28.36,Moderate Stress
Lavanda (Lavandula angustifolia),363.92,63.97,24.63,High Stress
Lavanda (Lavandula angustifolia),554.35,67.76,20.48,Moderate Stress
Lavanda (Lavandula angustifolia),681.78,60.53,28.19,High Stress
Lavanda (Lavandula angustifolia),665.36,64.65,27.32,High Stress
Lavanda (Lavandula angustifolia),698.49,45.92,20.1,High Stress
Lavanda (Lavandula angustifolia),722.16,63.72,19.23,Healthy
Lavanda (Lavandula angustifolia),755.43,56.56,27.11,High Stress
Lavanda (Lavandula angustifolia),699.08,46.71,25.63,High Stress
Lavanda (Lavandula angustifolia),380.64,64.53,21.94,High Stress
Lavanda (Lavandula angustifolia),561.05,68.25,23.08,Healthy
Lavanda (Lavandula angustifolia),433.48,68.39,28.45,High Stress
Lavanda (Lavandula angustifolia),888.2,43.88,27.53,High Stress
Lavanda (Lavandula angustifolia),368.5,58.65,19.31,Moderate Stress
Lavanda (Lavandula angustifolia),885.27,59.69,27.85,Healthy
Lavanda (Lavandula angustifolia),918.49,64.6,23.88,Moderate Stress
Lavanda (Lavandula angustifolia),752.89,65.94,18.68,Healthy
Lavanda (Lavandula angustifolia),633.44,40.49,27.42,High Stress
Lavanda (Lavandula angustifolia),962.1,66.92,18.72,Moderate Stress
Lavanda (Lavandula angustifolia),226.55,41.06,22.24,High Stress
Lavanda (Lavandula angustifolia),730.75,65.51,24.19,Moderate Stress
Lavanda (Lavandula angustifolia),254.08,61.32,29.52,High Stress
Lavanda (Lavandula angustifolia),921.9,54.02,21.83,Moderate Stress
Lavanda (Lavandula angustifolia),812.52,51.63,20.72,Moderate Stress
Lavanda (Lavandula angustifolia),811.52,43.78,29.62,High Stress
Lavanda (Lavandula angustifolia),984.87,57.92,23.79,Moderate Stress
Lavanda (Lavandula angustifolia),352.45,67.0,24.19,Healthy
Lavanda (Lavandula angustifolia),894.76,57.38,29.64,High Stress
Lavanda (Lavandula angustifolia),423.12,67.18,27.04,High Stress
Lavanda (Lavandula angustifolia),767.79,51.17,22.33,High Stress
Lavanda (Lavandula angustifolia),547.91,62.27,28.05,Moderate Stress
Lavanda (Lavandula angustifolia),618.94,42.92,26.2,High Stress
Lavanda (Lavandula angustifolia),755.93,41.01,29.31,Healthy
Lavanda (Lavandula angustifolia),795.29,61.34,28.0,High Stress
Lavanda (Lavandula angustifolia),895.11,48.37,22.74,Healthy
Lavanda (Lavandula angustifolia),928.24,49.33,24.12,Healthy
Lavanda (Lavandula angustifolia),408.73,60.52,27.16,Moderate Stress
Lavanda (Lavandula angustifolia),340.89,43.9,22.0,Moderate Stress
Lavanda (Lavandula angustifolia),489.11,48.41,19.4,High Stress
Lavanda (Lavandula angustifolia),843.79,64.81,23.26,Moderate Stress
Lavanda (Lavandula angustifolia),766.36,48.58,21.37,High Stress
Lavanda (Lavandula angustifolia),261.95,62.59,24.49,High Stress
Lavanda (Lavandula angustifolia),441.18,63.53,21.5,Healthy
Lavanda (Lavandula angustifolia),926.16,56.48,23.72,Healthy
Lavanda (Lavandula angustifolia),833.17,45.46,29.61,High Stress
Lavanda (Lavandula angustifolia),509.24,46.84,25.03,Healthy
Lavanda (Lavandula angustifolia),338.53,54.61,28.21,Moderate Stress
Lavanda (Lavandula angustifolia),829.09,51.99,25.32,High Stress
Lavanda (Lavandula angustifolia),921.71,47.0,22.16,High Stress
Lavanda (Lavandula angustifolia),241.19,68.71,19.31,Moderate Stress
Lavanda (Lavandula angustifolia),505.77,46.33,22.23,High Stress
Lavanda (Lavandula angustifolia),618.38,59.97,26.83,Moderate Stress
Lavanda (Lavandula angustifolia),222.18,68.22,27.3,Healthy
Lavanda (Lavandula angustifolia),705.83,62.75,24.64,Healthy
Lavanda (Lavandula angustifolia),700.37,40.45,28.53,Healthy
Lavanda (Lavandula angustifolia),430.84,46.36,21.54,Healthy
Lavanda (Lavandula angustifolia),267.53,61.88,22.56,Healthy
Lavanda (Lavandula angustifolia),570.86,56.87,22.85,High Stress
Lavanda (Lavandula angustifolia),709.59,47.47,21.86,High Stress
Lavanda (Lavandula angustifolia),330.11,47.41,21.22,Moderate Stress
Lavanda (Lavandula angustifolia),424.44,53.1,25.54,Moderate Stress
Lavanda (Lavandula angustifolia),305.97,41.45,29.38,Moderate Stress
Lavanda (Lavandula angustifolia),859.51,46.78,21.89,High Stress
Lavanda (Lavandula angustifolia),434.77,41.62,27.78,Healthy
Lavanda (Lavandula angustifolia),650.54,54.67,27.61,Moderate Stress
Lavanda (Lavandula angustifolia),768.76,61.24,22.11,High Stress
Lavanda (Lavandula angustifolia),293.64,40.69,21.68,Moderate Stress
Lavanda (Lavandula angustifolia),492.95,41.39,23.02,Healthy
Lavanda (Lavandula angustifolia),304.2,47.51,25.72,Moderate Stress
